2025-05-26 22:21:19,0.639
2025-05-26 22:21:23,0.270
2025-05-26 22:21:26,0.022
2025-05-26 22:21:30,0.204
2025-05-26 22:22:07,0.507
2025-05-26 22:22:11,0.680
2025-05-26 22:22:14,0.974
2025-05-26 22:22:18,0.520
2025-05-26 22:22:37,0.100
2025-05-26 22:22:56,0.519
2025-05-26 22:23:16,0.292
2025-05-26 22:24:58,0.982
2025-05-26 22:25:02,0.788
2025-05-26 22:25:06,0.901
2025-05-26 22:25:15,0.794
2025-05-26 22:25:29,0.498
2025-05-26 22:25:51,0.786
2025-05-26 22:26:00,0.379
2025-05-26 22:38:58,0.326
2025-05-26 22:39:02,0.820
2025-05-26 22:39:06,0.304
2025-05-26 22:39:09,0.676
2025-05-26 22:39:28,0.912
2025-05-26 22:40:23,0.694
2025-05-26 22:40:27,0.208
2025-05-26 22:40:31,0.538
2025-05-26 22:41:23,0.676
2025-05-26 22:41:27,0.708
2025-05-26 22:41:31,0.443
2025-05-26 22:43:29,0.107
2025-05-26 22:43:33,0.388
2025-05-26 22:43:37,0.291
2025-05-26 22:51:07,0.751
2025-05-26 22:51:11,0.605
2025-05-26 22:51:15,0.980
2025-05-26 22:51:19,0.041
2025-05-26 22:51:23,0.631
2025-05-26 22:51:26,0.894
2025-05-26 22:51:32,0.839
2025-05-26 22:51:36,0.435
2025-05-26 22:52:07,0.509
2025-05-26 22:52:11,0.820
2025-05-26 22:52:14,0.724
2025-05-26 22:52:18,0.934
2025-05-26 22:52:37,0.642
2025-05-26 22:52:57,0.971
2025-05-26 22:53:16,0.908
2025-05-26 22:55:06,0.810
2025-05-26 22:55:10,0.806
2025-05-26 22:55:14,0.616
2025-05-26 22:55:22,0.736
2025-05-26 22:55:46,0.865
2025-05-26 22:55:54,0.230
2025-05-26 22:56:12,0.742
2025-05-26 22:56:16,0.994
2025-05-26 22:56:37,0.005
2025-05-26 23:01:59,0.829
2025-05-26 23:02:03,0.321
2025-05-26 23:02:07,0.342
2025-05-26 23:02:10,0.394
2025-05-26 23:02:14,0.296
2025-05-26 23:02:18,0.841
2025-05-26 23:02:24,0.926
2025-05-26 23:02:27,0.048
2025-05-26 23:02:40,0.668
2025-05-26 23:08:13,0.181
2025-05-26 23:08:17,0.484
2025-05-26 23:08:29,0.822
